title,brand,description,price,link,image
14DUD32AA,Furnas,"Catalog Number: 14DUD32AA, Brand: Furnas, Motor Controls: Motor Control Starters,  Size: 1, Style: 14DUD, Coil: 120 VAC","
        $0.00
      ",/collections/all/products/14dud32aa,https://coastsidecircuitbreakers.com/cdn/shop/products/sd9354-square-d-schneider-electric_1024x1024_cc9ec888-a350-4cea-b564-015435f50b1d_512x.jpg?v=1612905809
2B100,FPE / Federal Pacific,"Catalog Number: 2B100, Brand: FPE / Federal Pacific, Circuit Breakers: Molded Case, Style: 2B Series, Type: 2B, Poles: 2, Volts: 240, Amps: 100, Co...","
        $0.00
      ",/collections/all/products/2b100,https://coastsidecircuitbreakers.com/cdn/shop/products/2b100-fpe-federal-pacific_512x.jpg?v=1572959620
2B100BC,FPE / Federal Pacific,"Catalog Number: 2B100BC, Brand: FPE / Federal Pacific, Circuit Breakers: Molded Case, Style: 2B Series, Type: 2B, Poles: 2, Volts: 240, Amps: 100, ...","
        $0.00
      ",/collections/all/products/2b100bc,https://coastsidecircuitbreakers.com/cdn/shop/products/2b100bc-fpe-federal-pacific_512x.jpg?v=1572959624
2B125,FPE / Federal Pacific,"Catalog Number: 2B125, Brand: FPE / Federal Pacific, Circuit Breakers: Molded Case, Style: 2B Series, Type: 2B, Poles: 2, Volts: 240, Amps: 125, Co...","
        $0.00
      ",/collections/all/products/2b125,https://coastsidecircuitbreakers.com/cdn/shop/products/2b125-fpe-federal-pacific_512x.jpg?v=1572959628
2B125BC,FPE / Federal Pacific,"Catalog Number: 2B125BC, Brand: FPE / Federal Pacific, Circuit Breakers: Molded Case, Style: 2B Series, Type: 2B, Poles: 2, Volts: 240, Amps: 125, ...","
        $0.00
      ",/collections/all/products/2b125bc,https://coastsidecircuitbreakers.com/cdn/shop/products/2b125bc-fpe-federal-pacific_512x.jpg?v=1572959631
2B150,FPE / Federal Pacific,"Catalog Number: 2B150, Brand: FPE / Federal Pacific, Circuit Breakers: Molded Case, Style: 2B Series, Type: 2B, Poles: 2, Volts: 240, Amps: 150, Co...","
        $0.00
      ",/collections/all/products/2b150,https://coastsidecircuitbreakers.com/cdn/shop/products/2b150-fpe-federal-pacific_512x.jpg?v=1572959635
2B150BC,FPE / Federal Pacific,"Catalog Number: 2B150BC, Brand: FPE / Federal Pacific, Circuit Breakers: Molded Case, Style: 2B Series, Type: 2B, Poles: 2, Volts: 240, Amps: 150, ...","
        $0.00
      ",/collections/all/products/2b150bc,https://coastsidecircuitbreakers.com/cdn/shop/products/2b150bc-fpe-federal-pacific_512x.jpg?v=1572959639
2B175,FPE / Federal Pacific,"Catalog Number: 2B175, Brand: FPE / Federal Pacific, Circuit Breakers: Molded Case, Style: 2B Series, Type: 2B, Poles: 2, Volts: 240, Amps: 175, Co...","
        $0.00
      ",/collections/all/products/2b175,https://coastsidecircuitbreakers.com/cdn/shop/products/2b175-fpe-federal-pacific_512x.jpg?v=1572959643
2B175BC,FPE / Federal Pacific,"Catalog Number: 2B175BC, Brand: FPE / Federal Pacific, Circuit Breakers: Molded Case, Style: 2B Series, Type: 2B, Poles: 2, Volts: 240, Amps: 175, ...","
        $0.00
      ",/collections/all/products/2b175bc,https://coastsidecircuitbreakers.com/cdn/shop/products/2b175bc-fpe-federal-pacific_512x.jpg?v=1572959647
2B200,FPE / Federal Pacific,"Catalog Number: 2B200, Brand: FPE / Federal Pacific, Circuit Breakers: Molded Case, Style: 2B Series, Type: 2B, Poles: 2, Volts: 240, Amps: 200, Co...","
        $0.00
      ",/collections/all/products/2b200,https://coastsidecircuitbreakers.com/cdn/shop/products/2b200-fpe-federal-pacific_512x.jpg?v=1572959650
2B200BC,FPE / Federal Pacific,"Catalog Number: 2B200BC, Brand: FPE / Federal Pacific, Circuit Breakers: Molded Case, Style: 2B Series, Type: 2B, Poles: 2, Volts: 240, Amps: 200, ...","
        $0.00
      ",/collections/all/products/2b200bc,https://coastsidecircuitbreakers.com/cdn/shop/products/2b200bc-fpe-federal-pacific_512x.jpg?v=1572959654
2B225,FPE / Federal Pacific,"Catalog Number: 2B225, Brand: FPE / Federal Pacific, Circuit Breakers: Molded Case, Style: 2B Series, Type: 2B, Poles: 2, Volts: 240, Amps: 225, Co...","
        $0.00
      ",/collections/all/products/2b225,https://coastsidecircuitbreakers.com/cdn/shop/products/2b225-fpe-federal-pacific_512x.jpg?v=1572959658
2B225BC,FPE / Federal Pacific,"Catalog Number: 2B225BC, Brand: FPE / Federal Pacific, Circuit Breakers: Molded Case, Style: 2B Series, Type: 2B, Poles: 2, Volts: 240, Amps: 225, ...","
        $0.00
      ",/collections/all/products/2b225bc,https://coastsidecircuitbreakers.com/cdn/shop/products/2b225bc-fpe-federal-pacific_512x.jpg?v=1572959662
3TA225FDK,Cutler Hammer / Eaton / Westinghouse,"Catalog Number: 3TA225FDK, Brand: Cutler Hammer / Eaton / Westinghouse, Parts and Accessories: Breaker Terminals / Lugs, Amps: 225, Connection: Bol...","
        $0.00
      ",/collections/all/products/3ta225fdk,https://coastsidecircuitbreakers.com/cdn/shop/products/3ta225fdk-cutler-hammer-eaton-westinghouse_512x.jpeg?v=1572707079
6FPB01,ITE / Siemens,"Catalog Number: 6FPB01, Brand: ITE / Siemens, Parts and Accessories: Mounting Hardware, Style: FC1, FCII, P5, S5, CDP5, CDP6, SB1, SB2, SB3,","
        $0.00
      ",/collections/all/products/6fpb01,https://coastsidecircuitbreakers.com/cdn/shop/products/cjd62b200-ite-siemens_1024x1024_1bfb5da4-a25a-4b27-b7c4-0488cd5d0b9a_512x.jpg?v=1614751596
6LL61,ITE / Siemens,"Catalog Number: 6LL61, Brand: ITE / Siemens, Parts and Accessories: Mounting Hardware, Style: FC1, FCII, P5, S5, CDP5, CDP6, SB1, SB2, SB3, Type: S...","
        $0.00
      ",/collections/all/products/6ll61,https://coastsidecircuitbreakers.com/cdn/shop/products/cjd62b200-ite-siemens_1024x1024_48d2ad3d-df1a-4ff0-bde5-2e971da3b9e4_512x.jpg?v=1614751594
8536SDO1V06,Square D / Schneider Electric,"Catalog Number: 8536SDO1V06, Brand: Square D / Schneider Electric, Motor Controls: Motor Control Starters,  Size: 2, Style: 8536, Coil: 480 VAC","
        $0.00
      ",/collections/all/products/8536sdo1v06,https://coastsidecircuitbreakers.com/cdn/shop/products/sd9354-square-d-schneider-electric_1024x1024_f31f6046-edf1-4cbe-a2a1-80b76aac2827_512x.jpg?v=1621916512
